fr,market,signal,time,tradeID,entry_price,stop_loss,take_profit,lots_size,risk_amount,spread_buffer_pips,risk_reward_ratio,top_price,bottom_price,max_profit,max_loss,realized_profit_loss,close_time,position_status,close_reason,take_profit_hit,stop_loss_hit
EUR_USD,BEAR,SHORT,2026-01-15 21:20:03,352,1.16079,1.16169,1.16055,1.890,100.00,3,1.0:1,1.16084,1.16049,$56.69,$-9.45,$0.00,2026-01-15 22:45:06,CLOSED,MANUAL_CLOSE,NO,NO
EUR_USD,BEAR,SHORT,2026-01-15 21:20:03,348,1.16079,1.16079,1.16079,2.112,100.00,3,1.0:1,1.16079,1.16079,$0.00,$0.00,$0.00,,OPEN,,NO,NO
BEAR,SHORT,2026-01-15 21:20:03,1.16079,1.16169,1.16055,1.890,100.00,5.4,3,8.4,0.4,0.44,44.02,0.00,-1.56,-156.07,CLOSED,UNKNOWN,UNKNOWN,,
BEAR,LONG,N/A,1.16118,1.16015,1.16140,1.524,100.00,N/A,3,N/A,N/A,0.00,0.00,0.00,0.00,0.00,CLOSED,UNKNOWN,UNKNOWN
EUR_USD,BEAR,LONG,2026-01-15 23:20:10,365,1.16118,1.16015,1.16140,1.524,100.00,3,0.3:1,1.16142,1.16090,$36.58,$-42.68,$0.00,2026-01-15 23:45:44,CLOSED,MANUAL_CLOSE,NO,NO
BEAR,SHORT,N/A,1.16014,1.16281,1.15919,0.449,100.00,N/A,3,N/A,N/A,0.00,0.00,0.00,0.00,0.00,CLOSED,UNKNOWN,UNKNOWN
EUR_USD,BEAR,SHORT,2026-01-16 07:30:01,373,1.16014,1.16281,1.15919,0.449,100.00,3,0.4:1,1.16080,1.15918,$43.14,$-29.66,$42.69,2026-01-16 07:40:15,CLOSED,TP_HIT,YES,NO
BEAR,SHORT,N/A,1.16021,1.16145,1.15919,0.451,100.00,N/A,3,N/A,N/A,0.00,0.00,0.00,0.00,0.00,CLOSED,UNKNOWN,UNKNOWN
EUR_USD,BEAR,SHORT,N/A,381,1.16021,1.16168,1.15919,0.451,100.00,3,N/A,1.16060,1.15929,$41.53,$-17.60,$46.04,2026-01-16 10:09:58,CLOSED,TP_HIT,YES,NO
